"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2021","71-909-8767","Red Star Kombucha","","","","","433 Graeme St","Pittsburgh","PA","15222","0000","Allegheny","(412) 904-3098","208201","Brewers (Mfrs)","208201","Brewers (Mfrs)","","","549915","Coffee & Tea","581208","Restaurants","","","","","","","","","","","","","","","31212002","Breweries","31212002","Breweries","44529805","","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","20 to 49","00048","$10 - 20 Million","$16,023,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","7","","No"
"2020","71-909-8767","Red Star Kombucha","","","","","433 Graeme St","Pittsburgh","PA","15222","0000","Allegheny","(412) 904-3098","208201","Brewers (Mfrs)","208201","Brewers (Mfrs)","","","549915","Coffee & Tea","581208","Restaurants","","","","","","","","","","","","","","","31212002","Breweries","31212002","Breweries","44529805","","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","20 to 49","00048","$50 - 100 Million","$64,090,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","7","","No"
"2019","71-909-8767","Red Star Kombucha","","","","","433 Graeme St","Pittsburgh","PA","15222","0000","Allegheny","(412) 904-3098","208201","Brewers (Mfrs)","208201","Brewers (Mfrs)","","","581236","","549915","Coffee & Tea","","","","","","","","","","","","","","","31212002","Breweries","31212002","Breweries","","","44529805","","","","","","","","","","","","","","","","20 to 49","00048","$50 - 100 Million","$64,090,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","7","","No"
"2020","41-539-1163","Red Tea House","","","","","1717 Cochran Rd # 2","Pittsburgh","PA","15220","1036","Allegheny","(412) 561-6336","581208","Restaurants","581208","Restaurants","","","549915","Coffee & Tea","581206","Foods-Carry Out","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","44529805","","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2021","41-539-1163","Red Tea House","","","","","1717 Cochran Rd # 2","Pittsburgh","PA","15220","1036","Allegheny","(412) 561-6336","581208","Restaurants","581208","Restaurants","","","549915","Coffee & Tea","581206","Foods-Carry Out","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","44529805","","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2019","41-539-1163","Red Tea House","","","","","1717 Cochran Rd #2","Pittsburgh","PA","15220","1046","Allegheny","(412) 561-6336","581208","Restaurants","581208","Restaurants","","","549915","Coffee & Tea","581206","Foods-Carry Out","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","44529805","","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2021","42-598-9546","Redbeard's Bar & Griill","Scott","Collins","Manager","Male","144 6th St","Pittsburgh","PA","15222","3312","Allegheny","(412) 261-2324","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$305,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","10","","No"
"2019","41-538-1466","Redbeard's Bar & Grill","Lenny","Semplice","Owner","Male","201 Shiloh St","Pittsburgh","PA","15211","1640","Allegheny","(412) 431-3730","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","10 to 19","00012","$500,000 - 1 Million","$609,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","26","","No"
"2020","42-200-3252","Redbeard's Mountain Washington","Michelle","Kercher","Manager","Female","201 Shiloh St","Pittsburgh","PA","15211","1640","Allegheny","(412) 431-3730","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2021","42-200-3252","Redbeard's Mountain Washington","Michelle","Kercher","Manager","Female","201 Shiloh St","Pittsburgh","PA","15211","1640","Allegheny","(412) 431-3730","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2019","42-200-3252","Redbeard's Mountain Washington","Michelle","Kercher","Manager","Female","201 Shiloh St","Pittsburgh","PA","15211","1640","Allegheny","(412) 431-3730","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2020","43-237-3911","Redbeards On Sixth LLC","","","","","144 6th St","Pittsburgh","PA","15222","3312","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2021","43-237-3911","Redbeards On Sixth LLC","","","","","144 6th St","Pittsburgh","PA","15222","3312","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$203,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2019","43-237-3911","Redbeards On Sixth LLC","","","","","144 6th St","Pittsburgh","PA","15222","3312","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2020","66-726-6936","Redfin Blues","Bunny","Schaffer","Manager","Female","100 Waterfront Dr # 2","Pittsburgh","PA","15222","4756","Allegheny","(412) 322-5837","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","15","","No"
"2021","66-726-6936","Redfin Blues","Bunny","Schaffer","Manager","Female","100 Waterfront Dr # 2","Pittsburgh","PA","15222","4756","Allegheny","(412) 322-5837","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","15","","No"
"2019","66-726-6936","Redfin Blues","Bunny","Schaffer","Manager","Female","100 Waterfront Dr # 2","Pittsburgh","PA","15222","4756","Allegheny","(412) 322-5837","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","15","","No"
"2021","72-594-8338","Relish","","","","","330 Pearl St","Pittsburgh","PA","15224","1953","Allegheny","(412) 802-0300","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","","No"
"2020","72-594-8338","Relish","","","","","330 Pearl St","Pittsburgh","PA","15224","1953","Allegheny","(412) 802-0300","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","","$0","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","","No"
"2020","22-274-0367","Remedy Restaurant & Lounge","Anthony","Tumolo","Owner","Male","5121 Butler St","Pittsburgh","PA","15201","2606","Allegheny","(412) 781-6771","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","10 to 19","00011","$500,000 - 1 Million","$559,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2021","22-274-0367","Remedy Restaurant & Lounge","Anthony","Tumolo","Owner","Male","5121 Butler St","Pittsburgh","PA","15201","2606","Allegheny","(412) 781-6771","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","10 to 19","00011","$500,000 - 1 Million","$559,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2019","22-274-0367","Remedy Restaurant & Lounge","Anthony","Tumolo","Owner","Male","5121 Butler St","Pittsburgh","PA","15201","2606","Allegheny","(412) 781-6771","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","10 to 19","00011","$500,000 - 1 Million","$559,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2021","44-663-9767","Remember When","Mary","Gettel","Owner","Female","3860 Chartiers Ave","Pittsburgh","PA","15204","1109","Allegheny","(412) 331-2234","581208","Restaurants","581208","Restaurants","","","581203","Ice Cream Parlors","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251512","Snack And Nonalcoholic Beverage Bars","","","","","","","","","","","","","","","","","1 to 4","00003","Less Than $500,000","$153,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","32","","No"
"2020","17-733-3762","Remo's Catering","Roy","Mazzoleni","Owner","Male","2151 Babcock Blvd","Pittsburgh","PA","15209","1344","Allegheny","(412) 822-7844","581212","Caterers","581212","Caterers","","","581208","Restaurants","","","","","","","","","","","","","","","","","72232001","Caterers","72232001","Caterers","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","10 to 19","00012","$500,000 - 1 Million","$609,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","1993","No"
"2021","17-733-3762","Remo's Catering","Roy","Mazzoleni","Owner","Male","2151 Babcock Blvd","Pittsburgh","PA","15209","1344","Allegheny","(412) 822-7844","581212","Caterers","581212","Caterers","","","581208","Restaurants","","","","","","","","","","","","","","","","","72232001","Caterers","72232001","Caterers","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","10 to 19","00012","$500,000 - 1 Million","$609,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","1993","No"
"2019","17-733-3762","Remo's Catering","Roy","Mazzoleni","Owner","Male","2151 Babcock Blvd","Pittsburgh","PA","15209","1344","Allegheny","(412) 822-7844","581212","Caterers","581212","Caterers","","","581208","Restaurants","","","","","","","","","","","","","","","","","72232001","Caterers","72232001","Caterers","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","10 to 19","00012","$500,000 - 1 Million","$609,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","1993","No"
"2019","56-488-6489","Renaissance","Craig","Bollman","Director","Male","107 6th St","Pittsburgh","PA","15222","3301","Allegheny","(412) 562-1200","701101","Hotels & Motels","701101","Hotels & Motels","","","581223","","596104","","701117","Accommodations","799101","Health Clubs Studios & Gymnasiums","738931","Convention & Meeting Facilities & Svc","581234","","581301","Bars","581208","Restaurants","651202","Office Buildings & Parks","72111002","Hotels (Except Casino Hotels) And Motels","72111002","Hotels (Except Casino Hotels) And Motels","","","","","72119901","All Other Traveler Accommodation","71394011","Fitness And Recreational Sports Centers","56192002","Convention And Trade Show Organizers","","","72241001","Drinking Places (Alcoholic Beverages)","72251117","Full-Service Restaurants","53112004","Lessors Of Nonresidential Buildings (Except Miniwa","250 to 499","00250","$20 - 50 Million","$24,628,000","Private","Branch","400857322","000000000","2","Verified","000000","$0","15","","No"
"2021","56-488-6489","Renaissance Pittsburgh","Craig","Bollman","Director","Male","107 6th St","Pittsburgh","PA","15222","3301","Allegheny","(412) 562-1200","701101","Hotels & Motels","701101","Hotels & Motels","","","596104","","701117","Accommodations","799101","Health Clubs Studios & Gymnasiums","738931","Convention & Meeting Facilities & Svc","581301","Bars","581208","Restaurants","651202","Office Buildings & Parks","581212","Caterers","","","72111002","Hotels (Except Casino Hotels) And Motels","72111002","Hotels (Except Casino Hotels) And Motels","","","72119901","All Other Traveler Accommodation","71394011","Fitness And Recreational Sports Centers","56192002","Convention And Trade Show Organizers","72241001","Drinking Places (Alcoholic Beverages)","72251117","Full-Service Restaurants","53112004","Lessors Of Nonresidential Buildings (Except Miniwa","72232001","Caterers","","","250 to 499","00250","$20 - 50 Million","$24,628,000","Private","Branch","400857322","000000000","2","Verified","000000","$0","15","","No"
"2020","56-488-6489","Renaissance Pittsburgh","Craig","Bollman","Director","Male","107 6th St","Pittsburgh","PA","15222","3301","Allegheny","(412) 562-1200","701101","Hotels & Motels","701101","Hotels & Motels","","","596104","","701117","Accommodations","799101","Health Clubs Studios & Gymnasiums","738931","Convention & Meeting Facilities & Svc","581301","Bars","581208","Restaurants","651202","Office Buildings & Parks","581212","Caterers","","","72111002","Hotels (Except Casino Hotels) And Motels","72111002","Hotels (Except Casino Hotels) And Motels","","","72119901","All Other Traveler Accommodation","71394011","Fitness And Recreational Sports Centers","56192002","Convention And Trade Show Organizers","72241001","Drinking Places (Alcoholic Beverages)","72251117","Full-Service Restaurants","53112004","Lessors Of Nonresidential Buildings (Except Miniwa","72232001","Caterers","","","250 to 499","00250","$20 - 50 Million","$24,628,000","Private","Branch","400857322","000000000","2","Verified","000000","$0","15","","No"
"2021","71-442-4251","Renkus-Heinz Inc","","","","","600 Grant St","Pittsburgh","PA","15219","2702","Allegheny","(949) 588-9997","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","8","1979","No"
"2020","71-442-4251","Renkus-Heinz Inc","","","","","600 Grant St","Pittsburgh","PA","15219","2702","Allegheny","(949) 588-9997","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","","$0","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","8","1979","No"
"2019","71-442-4251","Renkus-Heinz Inc","","","","","600 Grant St","Pittsburgh","PA","15219","2702","Allegheny","(949) 588-9997","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","","","","","","","","","","","","","","","","","","","","99999004","Unclassified Establishments","99999004","Unclassified Establishments","","","","","","","","","","","","","","","","","","","","00000","","$0","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","8","1979","No"
"2021","43-413-3868","Renovatio LLC","","","","","732 Filbert St","Pittsburgh","PA","15232","2438","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2020","43-413-3868","Renovatio LLC","","","","","732 Filbert St","Pittsburgh","PA","15232","2438","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2019","43-413-3868","Renovatio LLC","","","","","732 Filbert St","Pittsburgh","PA","15232","2438","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2021","98-137-6833","Residence Inn","Daniel","Yancosek","Manager","Male","1500 Park Ln","Pittsburgh","PA","15275","1109","Allegheny","(412) 787-3300","701101","Hotels & Motels","701101","Hotels & Motels","","","596104","","999966","Federal Government Contractors","701117","Accommodations","411101","Airport Transportation Service","411903","Limousine Service","738931","Convention & Meeting Facilities & Svc","737415","Internet Service","738939","Conference Centers","799101","Health Clubs Studios & Gymnasiums","72111002","Hotels (Except Casino Hotels) And Motels","72111002","Hotels (Except Casino Hotels) And Motels","","","99999005","Unclassified Establishments","72119901","All Other Traveler Accommodation","48599901","All Other Transit And Ground Passenger Transportat","48532002","Limousine Service","56192002","Convention And Trade Show Organizers","51821013","Data Processing, Hosting, And Related Services","51929008","","71394011","Fitness And Recreational Sports Centers","20 to 49","00030","$2.5 - 5 Million","$2,956,000","Private","Branch","400857322","000000000","2","Verified","000000","$0","25","1998","No"
"2020","98-137-6833","Residence Inn","Daniel","Yancosek","Manager","Male","1500 Park Ln","Pittsburgh","PA","15275","1109","Allegheny","(412) 787-3300","701101","Hotels & Motels","701101","Hotels & Motels","","","596104","","999966","Federal Government Contractors","701117","Accommodations","411101","Airport Transportation Service","411903","Limousine Service","738931","Convention & Meeting Facilities & Svc","737415","Internet Service","738939","Conference Centers","799101","Health Clubs Studios & Gymnasiums","72111002","Hotels (Except Casino Hotels) And Motels","72111002","Hotels (Except Casino Hotels) And Motels","","","99999005","Unclassified Establishments","72119901","All Other Traveler Accommodation","48599901","All Other Transit And Ground Passenger Transportat","48532002","Limousine Service","56192002","Convention And Trade Show Organizers","51821013","Data Processing, Hosting, And Related Services","51929008","","71394011","Fitness And Recreational Sports Centers","20 to 49","00030","$2.5 - 5 Million","$2,956,000","Private","Branch","400857322","000000000","2","Verified","000000","$0","25","1998","No"
"2019","98-137-6833","Residence Inn","Daniel","Yancosek","Manager","Male","1500 Park Ln","Pittsburgh","PA","15275","1109","Allegheny","(412) 787-3300","701101","Hotels & Motels","701101","Hotels & Motels","","","596104","","999966","Federal Government Contractors","701117","Accommodations","411101","Airport Transportation Service","411903","Limousine Service","581223","","738931","Convention & Meeting Facilities & Svc","737415","Internet Service","738939","Conference Centers","72111002","Hotels (Except Casino Hotels) And Motels","72111002","Hotels (Except Casino Hotels) And Motels","","","99999005","Unclassified Establishments","72119901","All Other Traveler Accommodation","48599901","All Other Transit And Ground Passenger Transportat","48532002","Limousine Service","","","56192002","Convention And Trade Show Organizers","51821013","Data Processing, Hosting, And Related Services","51929008","","20 to 49","00030","$2.5 - 5 Million","$2,956,000","Private","Branch","400857322","000000000","2","Verified","000000","$0","25","1998","No"
"2021","41-647-4576","Restaurant Holdings","Pat","Mcdonald","Partner","Male","115 Federal St # 103","Pittsburgh","PA","15212","5727","Allegheny","(412) 325-0550","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2020","41-647-4576","Restaurant Holdings","Pat","Mcdonald","Partner","Male","115 Federal St # 103","Pittsburgh","PA","15212","5727","Allegheny","(412) 325-0550","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2019","41-647-4576","Restaurant Holdings","Pat","Mcdonald","Partner","Male","115 Federal St # 103","Pittsburgh","PA","15212","5727","Allegheny","(412) 325-0550","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2020","72-454-4977","Restaurant Web Design Caf","","","","","100 Art Rooney Ave","Pittsburgh","PA","15212","5729","Allegheny","(443) 812-8404","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","","No"
"2019","72-454-4977","Restaurant Web Design Caf","","","","","100 Art Rooney Ave","Pittsburgh","PA","15212","5729","Allegheny","(443) 812-8404","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","","No"
"2021","72-454-4977","Restaurant Web Design Cafe","","","","","100 Art Rooney Ave","Pittsburgh","PA","15212","5729","Allegheny","(443) 812-8404","737311","Website Design Service","737311","Website Design Service","","","","","","","","","","","","","","","","","","","","","54151217","Computer Systems Design Services","54151217","Computer Systems Design Services","","","","","","","","","","","","","","","","","","","1 to 4","00004","$1 - 2.5 Million","$1,412,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","","No"
"2020","72-229-1528","Revel","Marcello","Munoz","Manager","Male","242 Forbes Ave","Pittsburgh","PA","15222","1806","Allegheny","(412) 281-1134","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","7","2016","No"
"2021","72-229-1528","Revel","Marcello","Munoz","Manager","Male","242 Forbes Ave","Pittsburgh","PA","15222","1806","Allegheny","(412) 281-1134","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","7","2016","No"
"2019","72-229-1528","Revel","Marcello","Munoz","Manager","Male","242 Forbes Ave","Pittsburgh","PA","15222","1806","Allegheny","(412) 281-1134","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","7","2016","No"
"2021","42-040-2290","Rey Azteca","","","","","3448 William Penn Hwy","Pittsburgh","PA","15235","5413","Allegheny","(412) 829-7006","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2020","42-040-2290","Rey Azteca","","","","","3448 William Penn Hwy","Pittsburgh","PA","15235","5413","Allegheny","(412) 829-7006","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2019","42-040-2290","Rey Azteca","","","","","3448 William Penn Hwy","Pittsburgh","PA","15235","5413","Allegheny","(412) 829-7006","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2020","42-570-9000","Reyna Foods","Nick","Dicio","Owner","Male","2031 Penn Ave # 2","Pittsburgh","PA","15222","4456","Allegheny","(412) 261-2606","581208","Restaurants","581208","Restaurants","","","541105","Grocers-Retail","596104","","514101","Food Products (Whls)","514105","Grocers-Wholesale","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","44511003","Supermarkets And Other Grocery (Except Convenience","","","42442005","Packaged Frozen Food Merchant Wholesalers","42441005","General Line Grocery Merchant Wholesalers","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","26","1987","No"
